Value	Sample	TerminalTaxa
73997	MP_E370	Eukaryota
1	MP_E370	Ulmaridae
62	MP_E370	Enteroctopus
664	MP_E370	Homo sapiens
425	MP_E370	Unknown
56	MP_E370	Picozoa
2307	MP_E370	Candidatus Karelsulcia__f
1	MP_E370	Doliolum nationalis
11	MP_E370	Paragorgia
11	MP_E370	Diptera
42	MP_E370	Poecilosclerida
7	MP_E370	Chuniphyes multidentata
949	MP_E370	Hominidae
38449	MP_E370	Ophiotreta
85	MP_E370	Trichometra cubensis
114	MP_E370	Lineidae
9939	MP_E378	Eukaryota
311	MP_E378	Homo sapiens
17796	MP_E378	Unknown
9106	MP_E378	Picozoa
55	MP_E378	Candidatus Karelsulcia__f
396	MP_E378	Poecilosclerida
1725	MP_E378	Cheilostomatida
442	MP_E378	Echinoidea
314	MP_E378	Dendroceratida
75	MP_E378	Clathrinida
6	MP_E378	Anomiidae
36	MP_E378	Polymastia
1647	MP_E378	Axinellida
4812	MP_E378	Dendronotus
3	MP_E378	candidate division WOR_3
113	MP_E378	Ctenostomatida
494	MP_E378	Adapedonta
80	MP_E378	Pseudocalanus elongatus
1713	MP_E378	Acartia longiremis
15	MP_E378	Pagurus nigrofascia
4	MP_E378	Steironepion moniliferum
5	MP_E378	Holothuroidea
2	MP_E378	Porifera
11	MP_E378	Vazella pourtalesii
376	MP_E378	Thysanoessa
579	MP_E378	Balanomorpha
2	MP_E378	Carybdeida
125	MP_E378	Amphimedon compressa
936	MP_E378	Rhynchozoon sp_ MHD_2004
69	MP_E378	Cyclopecten sp_ DJC_2016
789	MP_E378	Perciformes
615	MP_E378	Cupuladriidae
1	MP_E378	Suberitida
22	MP_E378	Demospongiae
371	MP_E378	Trochidae
61	MP_E378	Ophiopholis mirabilis
130	MP_E378	Dictyodendrillidae
76	MP_E378	Tethyidae
151	MP_E378	Romancheinidae
128	MP_E378	Fenestrulina
125	MP_E378	Dendronotus venustus
124	MP_E378	Hemiptera
14	MP_E378	Callyspongia
3531	MP_E378	Forcipulatida
29561	MP_E384_3B	Eukaryota
197	MP_E384_3B	Homo sapiens
12895	MP_E384_3B	Unknown
1315	MP_E384_3B	Picozoa
32640	MP_E384_3B	Candidatus Karelsulcia__f
3492	MP_E384_3B	Poecilosclerida
226	MP_E384_3B	Echinoidea
159	MP_E384_3B	Dendroceratida
847	MP_E384_3B	Axinellida
467	MP_E384_3B	Pseudocalanus elongatus
4	MP_E384_3B	Acartia longiremis
5	MP_E384_3B	Holothuroidea
865	MP_E384_3B	Thysanoessa
6	MP_E384_3B	Carybdeida
278	MP_E384_3B	Amphimedon compressa
378	MP_E384_3B	Cyclopecten sp_ DJC_2016
192	MP_E384_3B	Demospongiae
50	MP_E384_3B	Dictyodendrillidae
139	MP_E384_3B	Tethyidae
113	MP_E384_3B	Ophiura sarsii
17	MP_E384_3B	Heterochone calyx
4	MP_E384_3B	Velatida
35	MP_E384_3B	Flavobacteriales
19	MP_E384_3B	Aplysina
215	MP_E384_3B	Stichopodidae
306	MP_E384_3B	Strongylocentrotus
4	MP_E384_3B	Polymastiida
3	MP_E384_3B	Gymnodinium impudicum
2	MP_E384_3B	Cyanea
737	MP_E384_3B	Spatangoida
274	MP_E384_3B	Bacillota
79	MP_E384_3B	Crella
4953	MP_E384_3B	Chimaeriformes
180	MP_E384_3B	Sclerodactylidae
336	MP_E384_3B	Aphragmophora
2735	MP_E384_3B	Antedonidae
15	MP_E384_3B	Siphonophorae
206	MP_E384_3B	Chaperiidae
530	MP_E384_3B	Amphipholis torelli
8	MP_E384_3B	Environmental Unknown
5	MP_E384_3B	Spongillida
105694	MP_E388_1B	Eukaryota
2521	MP_E388_1B	Homo sapiens
320	MP_E388_1B	Unknown
7	MP_E388_1B	Picozoa
51	MP_E388_1B	Candidatus Karelsulcia__f
5	MP_E388_1B	Poecilosclerida
1	MP_E388_1B	Carybdeida
1	MP_E388_1B	Actinopteri
602	MP_E388_1B	Harrimaniidae
681	MP_E388_1B	Thyasiridae
67	MP_E388_1B	Agelasidae
560	MP_E388_1B	Trachipterus trachypterus
4	MP_E388_1B	Sphaeronectes koellikeri
112	MP_E388_1B	Apostichopus japonicus
8082	MP_E392	Eukaryota
8	MP_E392	Ulmaridae
660	MP_E392	Unknown
208	MP_E392	Picozoa
9184	MP_E392	Candidatus Karelsulcia__f
248	MP_E392	Poecilosclerida
3	MP_E392	Suberitida
9	MP_E392	Spongillida
9960	MP_E392	Actinopteri
24	MP_E392	Sphaeronectes koellikeri
356	MP_E392	Eptatretus
83	MP_E392	Elasipodida
12643	MP_E392	Stenobrachius leucopsarus
377	MP_E392	Heteronemertea
8	MP_E392	Ophiuridae
43	MP_E392	Cerebratulus sp_ 1 TCH_2015
1114	MP_E392	Eusergestes arcticus
1	MP_E392	Actinomycetaceae
1	MP_E392	Candidatus Beckwithbacteria
7	MP_E392	Coleoptera
2	MP_E392	Propionibacteriaceae
893	MP_E392	Solaster
1121	MP_E392	Hubrechtidae
1554	MP_E392	Saccoglossus
20	MP_E392	Chalinidae
410	MP_E392	Euphausia pacifica
120	MP_E392	Hymenodiscus cf_ fragilis RSIOAS009
86622	MP_E396	Eukaryota
462	MP_E396	Unknown
30	MP_E396	Picozoa
3196	MP_E396	Candidatus Karelsulcia__f
13	MP_E396	Poecilosclerida
1331	MP_E396	Lineidae
2	MP_E396	Holothuroidea
111	MP_E396	Thysanoessa
3	MP_E396	Dictyodendrillidae
82	MP_E396	Antedonidae
12140	MP_E396	Actinopteri
109	MP_E396	Agelasidae
1	MP_E396	Sphaeronectes koellikeri
95	MP_E396	Heteronemertea
28	MP_E396	Euphausia pacifica
5041	MP_E396	Sus scrofa
2602	MP_E396	Elpidiidae
22	MP_E396	Gemmatimonadales
42	MP_E396	Chaetoderma nitidulum
18	MP_E396	Suidae
6	MP_E396	Sphaerichthys
2162	MP_E396	Prionace glauca
2	MP_E396	Mammalia
1298	MP_E396	Tubulanidae
5	MP_E396	Anthozoa
873	MP_E396	Xylophaga oregona
10	MP_E396	Chiridota sp_ 2 AKM_2016
78	MP_E396	Monostilifera
51884	MP_E400	Eukaryota
1272	MP_E400	Homo sapiens
486	MP_E400	Unknown
26	MP_E400	Picozoa
5	MP_E400	Holothuroidea
6	MP_E400	Flavobacteriales
1054	MP_E400	Harrimaniidae
9	MP_E400	Agelasidae
39	MP_E400	Synaptidae
4694	MP_E400	Plutonaster agassizi
22	MP_E400	Candidatus Woesebacteria
3495	MP_E400	Allapasus
1782	MP_E400	Benthogone abstrusa
2	MP_E400	Phacellophora sp_ PCA7
580	MP_E400	Valenciniidae
543	MP_E400	Peniagone vitrea setosa
300	MP_E400	Synallactidae
236	MP_E400	Apodida
41839	MP_E404	Eukaryota
1414	MP_E404	Unknown
3313	MP_E404	Picozoa
1344	MP_E404	Candidatus Karelsulcia__f
2596	MP_E404	Poecilosclerida
568	MP_E404	Echinoidea
160	MP_E404	Dendroceratida
766	MP_E404	Axinellida
750	MP_E404	Pseudocalanus elongatus
1295	MP_E404	Acartia longiremis
2361	MP_E404	Thysanoessa
614	MP_E404	Balanomorpha
12	MP_E404	Carybdeida
361	MP_E404	Amphimedon compressa
10860	MP_E404	Perciformes
41	MP_E404	Suberitida
216	MP_E404	Demospongiae
200	MP_E404	Fenestrulina
1959	MP_E404	Forcipulatida
10	MP_E404	Ophiura sarsii
19	MP_E404	Velatida
207	MP_E404	Flavobacteriales
1417	MP_E404	Stichopodidae
1594	MP_E404	Strongylocentrotus
979	MP_E404	Spatangoida
452	MP_E404	Crella
2357	MP_E404	Aphragmophora
4	MP_E404	Siphonophorae
3	MP_E404	Spongillida
5223	MP_E404	Actinopteri
2	MP_E404	Sphaeronectes koellikeri
1534	MP_E404	Euphausia pacifica
4	MP_E404	Candidatus Woesebacteria
103	MP_E404	Electridae
4	MP_E404	Candidatus Pseudothioglobus__f
807	MP_E404	Sagittidae
850	MP_E404	Petrasma pervernicosa
26	MP_E404	Crellidae
22	MP_E404	Negombata magnifica
7891	MP_E404	Chordata
14	MP_E404	Pseudocalanus
60	MP_E404	Artiodactyla
410	MP_E404	Asteriidae
8	MP_E404	Clausocalanidae
6	MP_E404	Suberites domuncula
2533	MP_E404	Orcinus orca
115	MP_E404	Modiolus
6	MP_E404	Centropagidae
439	MP_E404	Celleporina souleae
236	MP_E404	Dendrochirotida
578	MP_E404	Bugulidae
3409	MP_E404	Megaptera novaeangliae
116	MP_E404	Negombata
13226	MP_E408	Eukaryota
3728	MP_E408	Unknown
10880	MP_E408	Picozoa
706	MP_E408	Candidatus Karelsulcia__f
3559	MP_E408	Poecilosclerida
1504	MP_E408	Cheilostomatida
424	MP_E408	Echinoidea
219	MP_E408	Dendroceratida
1047	MP_E408	Axinellida
167	MP_E408	Pseudocalanus elongatus
1459	MP_E408	Acartia longiremis
4405	MP_E408	Thysanoessa
669	MP_E408	Balanomorpha
12	MP_E408	Carybdeida
18	MP_E408	Amphimedon compressa
510	MP_E408	Rhynchozoon sp_ MHD_2004
71	MP_E408	Demospongiae
52	MP_E408	Ophiopholis mirabilis
18	MP_E408	Stichopodidae
1162	MP_E408	Chimaeriformes
109	MP_E408	Sclerodactylidae
35	MP_E408	Aphragmophora
6	MP_E408	Siphonophorae
378	MP_E408	Amphipholis torelli
20755	MP_E408	Actinopteri
3185	MP_E408	Euphausia pacifica
2884	MP_E408	Tubulanidae
18	MP_E408	Anthozoa
22	MP_E408	Sagittidae
845	MP_E408	Chordata
351	MP_E408	Asteriidae
31	MP_E408	Centropagidae
247	MP_E408	Celleporina souleae
59	MP_E408	Lepadidae__o
33	MP_E408	Lineus flavescens
50	MP_E408	Polydactylus
46	MP_E408	Tubulanus sp_ 3 TCH_2015
89	MP_E408	Amphipoda
1448	MP_E408	Evadne
31	MP_E408	Cypriniformes
26	MP_E408	Riserius
717	MP_E408	Pinnixa
19	MP_E408	Hoilungia
13	MP_E408	Elusimicrobiota
3	MP_E408	Neogastropoda
256	MP_E408	Trochida
4	MP_E408	Parasagitta
177	MP_E408	Cephalothrix
3	MP_E408	Oweniidae
3	MP_E408	Rhodobacterales
3	MP_E408	Betaproteobacteria
3	MP_E408	Ototyphlonemertidae
2	MP_E408	Fusobacteriales
727	MP_E408	Margarites
2737	MP_E408	Phocoena phocoena
28	MP_E408	Psammobiidae
581	MP_E408	Henricia
14234	MP_E408	Chondrichthyes
312	MP_E408	Carinoma mutabilis
290	MP_E408	Flustridae
5453	MP_E408	Rajidae
6	MP_E408	Calanoida
131	MP_E408	Oerstedia sp_ SJ 64
582	MP_E408	Luidia foliolata
10703	MP_E411_1T	Eukaryota
2054	MP_E411_1T	Unknown
3342	MP_E411_1T	Picozoa
144	MP_E411_1T	Candidatus Karelsulcia__f
2466	MP_E411_1T	Poecilosclerida
67	MP_E411_1T	Echinoidea
120	MP_E411_1T	Dendroceratida
702	MP_E411_1T	Axinellida
137	MP_E411_1T	Pseudocalanus elongatus
13351	MP_E411_1T	Acartia longiremis
2935	MP_E411_1T	Thysanoessa
134	MP_E411_1T	Balanomorpha
4	MP_E411_1T	Carybdeida
3	MP_E411_1T	Demospongiae
1398	MP_E411_1T	Spatangoida
17	MP_E411_1T	Bacillota
10434	MP_E411_1T	Aphragmophora
1	MP_E411_1T	Spongillida
28359	MP_E411_1T	Actinopteri
70	MP_E411_1T	Saccoglossus
682	MP_E411_1T	Euphausia pacifica
19	MP_E411_1T	Anthozoa
386	MP_E411_1T	Sagittidae
673	MP_E411_1T	Petrasma pervernicosa
1299	MP_E411_1T	Chordata
2	MP_E411_1T	Centropagidae
11	MP_E411_1T	Lineus flavescens
28	MP_E411_1T	Tubulanus sp_ 3 TCH_2015
3	MP_E411_1T	Amphipoda
91	MP_E411_1T	Pinnixa
2	MP_E411_1T	Oweniidae
1828	MP_E411_1T	Psammobiidae
2	MP_E411_1T	Phoronidae__o
29574	MP_E411_1T	Tellinidae
1	MP_E411_1T	Cephalopoda
2041	MP_E411_1T	Otariidae
37	MP_E411_1T	Carnivora
5	MP_E411_1T	Opiliones
25031	MP_E411_1T	Osmeriformes
19	MP_E411_1T	Clavagellidae
45	MP_E411_1T	Prosorhochmidae
43	MP_E411_1T	Parasagitta elegans
16	MP_E411_1T	Glebocarcinus oregonensis
57290	MP_E423	Eukaryota
21	MP_E423	Enteroctopus
94	MP_E423	Homo sapiens
595	MP_E423	Unknown
2279	MP_E423	Picozoa
7	MP_E423	Candidatus Karelsulcia__f
237	MP_E423	Poecilosclerida
9	MP_E423	Lineidae
204	MP_E423	Cheilostomatida
155	MP_E423	Echinoidea
37	MP_E423	Dendroceratida
45	MP_E423	Clathrinida
63	MP_E423	Anomiidae
2	MP_E423	Polymastia
97	MP_E423	Axinellida
16	MP_E423	candidate division WOR_3
3199	MP_E423	Adapedonta
3	MP_E423	Pseudocalanus elongatus
331	MP_E423	Acartia longiremis
9	MP_E423	Pagurus nigrofascia
130	MP_E423	Thysanoessa
51254	MP_E423	Balanomorpha
14	MP_E423	Amphimedon compressa
51	MP_E423	Rhynchozoon sp_ MHD_2004
377	MP_E423	Perciformes
46	MP_E423	Suberitida
50	MP_E423	Demospongiae
133	MP_E423	Trochidae
13	MP_E423	Ophiopholis mirabilis
11	MP_E423	Tethyidae
111	MP_E423	Callyspongia
51	MP_E423	Forcipulatida
65	MP_E423	Stichopodidae
49	MP_E423	Strongylocentrotus
30	MP_E423	Crella
304	MP_E423	Chimaeriformes
12	MP_E423	Sclerodactylidae
13	MP_E423	Aphragmophora
2	MP_E423	Antedonidae
173	MP_E423	Amphipholis torelli
1485	MP_E423	Actinopteri
19	MP_E423	Euphausia pacifica
8	MP_E423	Mammalia
4	MP_E423	Monostilifera
36	MP_E423	Sagittidae
59	MP_E423	Asteriidae
53	MP_E423	Celleporina souleae
18	MP_E423	Dendrochirotida
31	MP_E423	Bugulidae
2	MP_E423	Lineus flavescens
15	MP_E423	Amphipoda
4	MP_E423	Pinnixa
258	MP_E423	Trochida
3	MP_E423	Oweniidae
56	MP_E423	Margarites
6	MP_E423	Psammobiidae
53	MP_E423	Carinoma mutabilis
14	MP_E423	Luidia foliolata
6464	MP_E423	Tellinidae
516	MP_E423	Otariidae
555	MP_E423	Osmeriformes
1	MP_E423	Glebocarcinus oregonensis
6	MP_E423	Lyonsiidae__o
81	MP_E423	Schizomavella acuta
10	MP_E423	Corticium
66	MP_E423	Camarodonta
46	MP_E423	Cellariidae
58	MP_E423	Parasmittina
17	MP_E423	Cliona patera
51	MP_E423	Psolus
48	MP_E423	Chlamys hastata
1	MP_E423	Synchaetidae
18	MP_E423	Celleporella hyalina
37	MP_E423	Munididae
80	MP_E423	Cucumaria
35	MP_E423	Solaster endeca
30	MP_E423	Petaloconchus
29	MP_E423	Echinasteridae
3	MP_E423	Aoroides columbiae
14	MP_E423	Pachycheles
21	MP_E423	Hiatellidae
20368	MP_E423	Mytilus
11	MP_E423	Compsomyax subdiaphana
3339	MP_E423	Hiatella
15	MP_E423	Latrunculiidae
13	MP_E423	Muggiaea atlantica
13	MP_E423	Eualus
13	MP_E423	Lucapina
11	MP_E423	Pseudocnus
9	MP_E423	Escharinidae
7	MP_E423	Insecta
6	MP_E423	Lutjanidae
4	MP_E423	Bitias
61	MP_E423	Mytilus californianus
6	MP_E423	Cerebratulus
2	MP_E423	Jakobida
2	MP_E423	Homosclerophorida
61	MP_E423	Alcyonidiidae
21	MP_E423	Dermasterias imbricata
8	MP_E423	Carcinonemertes
147	MP_E423	Pectinidae
2	MP_E423	Sapromyza palpella
6	MP_E423	Zygonemertes
2	MP_E423	Moerella
21	MP_E423	Octopodidae
16	MP_E423	Crassadoma gigantea
117	MP_E423	Adeonidae
48124	MP_E427	Eukaryota
1	MP_E427	Ulmaridae
393	MP_E427	Unknown
793	MP_E427	Picozoa
3062	MP_E427	Candidatus Karelsulcia__f
849	MP_E427	Poecilosclerida
58	MP_E427	Echinoidea
24	MP_E427	Dendroceratida
392	MP_E427	Axinellida
5369	MP_E427	Thysanoessa
5	MP_E427	Carybdeida
23	MP_E427	Demospongiae
2	MP_E427	Dictyodendrillidae
7251	MP_E427	Spatangoida
121	MP_E427	Aphragmophora
2	MP_E427	Siphonophorae
246	MP_E427	Amphipholis torelli
2	MP_E427	Spongillida
14777	MP_E427	Euphausia pacifica
75	MP_E427	Tubulanidae
3	MP_E427	Anthozoa
2	MP_E427	Candidatus Woesebacteria
240	MP_E427	Sagittidae
1416	MP_E427	Chordata
1999	MP_E427	Artiodactyla
389	MP_E427	Asteriidae
3594	MP_E427	Megaptera novaeangliae
13	MP_E427	Tellinidae
155	MP_E427	Cephalopoda
9	MP_E427	Latrunculiidae
1119	MP_E427	Merluccius
3	MP_E427	Erysipelotrichales
3	MP_E427	Candidatus Pseudothioglobus__f__o
311	MP_E427	Galeorhinus galeus
11817	MP_E431	Eukaryota
28	MP_E431	Enteroctopus
992	MP_E431	Unknown
1807	MP_E431	Picozoa
2502	MP_E431	Candidatus Karelsulcia__f
1877	MP_E431	Poecilosclerida
51	MP_E431	Cheilostomatida
54	MP_E431	Echinoidea
101	MP_E431	Dendroceratida
614	MP_E431	Axinellida
130	MP_E431	Adapedonta
655	MP_E431	Acartia longiremis
3170	MP_E431	Thysanoessa
15006	MP_E431	Perciformes
258	MP_E431	Demospongiae
1	MP_E431	Dictyodendrillidae
330	MP_E431	Forcipulatida
1159	MP_E431	Spatangoida
2735	MP_E431	Chimaeriformes
450	MP_E431	Aphragmophora
5	MP_E431	Siphonophorae
6	MP_E431	Spongillida
9536	MP_E431	Actinopteri
4	MP_E431	Heteronemertea
10418	MP_E431	Euphausia pacifica
396	MP_E431	Sagittidae
3406	MP_E431	Chordata
2417	MP_E431	Artiodactyla
147	MP_E431	Negombata
1736	MP_E431	Phocoena phocoena
3338	MP_E431	Chondrichthyes
3	MP_E431	Candidatus Pseudothioglobus__f__o
70	MP_E431	Aplysinidae
5	MP_E431	Clathria prolifera
35	MP_E431	Lutjanus fulviflamma
3	MP_E431	Chlorophyceae
5	MP_E431	Cercopithecidae
7	MP_E431	Ophiura luetkenii
327	MP_E431	Gorgonocephalus
155	MP_E431	Tetractinellida
122	MP_E431	Serranidae
1987	MP_E435	Unknown
1470	MP_E435	Picozoa
9995	MP_E435	Candidatus Karelsulcia__f
3963	MP_E435	Poecilosclerida
995	MP_E435	Echinoidea
96	MP_E435	Dendroceratida
916	MP_E435	Axinellida
34	MP_E435	Pseudocalanus elongatus
443	MP_E435	Acartia longiremis
5076	MP_E435	Thysanoessa
39	MP_E435	Carybdeida
36	MP_E435	Cyclopecten sp_ DJC_2016
141	MP_E435	Demospongiae
14	MP_E435	Dictyodendrillidae
95	MP_E435	Tethyidae
3998	MP_E435	Spatangoida
91	MP_E435	Bacillota
113	MP_E435	Crella
9134	MP_E435	Chimaeriformes
298	MP_E435	Aphragmophora
5	MP_E435	Antedonidae
8	MP_E435	Siphonophorae
224	MP_E435	Amphipholis torelli
1	MP_E435	Spongillida
68622	MP_E435	Actinopteri
2	MP_E435	Actinomycetaceae
4951	MP_E435	Euphausia pacifica
7	MP_E435	Anthozoa
102	MP_E435	Monostilifera
300	MP_E435	Sagittidae
6982	MP_E435	Chordata
80	MP_E435	Artiodactyla
1747	MP_E435	Modiolus
4705	MP_E435	Megaptera novaeangliae
10	MP_E435	Amphipoda
65	MP_E435	Pinnixa
917	MP_E435	Chondrichthyes
2855	MP_E435	Rajidae
182	MP_E435	Luidia foliolata
249	MP_E435	Prosorhochmidae
11	MP_E435	Cerebratulus
284	MP_E435	Pectinidae
1188	MP_E435	Merluccius
2	MP_E435	Clathria prolifera
62	MP_E435	Crella elegans
709	MP_E435	Magelonidae
28	MP_E435	Tetilla dactyloidea
12	MP_E435	Ampithoidae
225	MP_E435	Nemertea
41	MP_E435	Ophiopholis sp_ EAC01
559	MP_E435	Seguenziida
356	MP_E435	Parasmittina jeffreysi
2	MP_E435	Chaetopteridae__o
309	MP_E435	Orthasterias koehleri
156	MP_E435	Porella
45	MP_E435	Heteromolpadia tridens
120	MP_E435	Chlamys islandica
3047	MP_E438	Eukaryota
10	MP_E438	Ulmaridae
781	MP_E438	Unknown
674	MP_E438	Picozoa
10222	MP_E438	Candidatus Karelsulcia__f
912	MP_E438	Poecilosclerida
410	MP_E438	Echinoidea
10	MP_E438	Dendroceratida
264	MP_E438	Axinellida
2704	MP_E438	Thysanoessa
1	MP_E438	Demospongiae
14	MP_E438	Dictyodendrillidae
88	MP_E438	Ophiura sarsii
1088	MP_E438	Spatangoida
5027	MP_E438	Chimaeriformes
97	MP_E438	Antedonidae
5	MP_E438	Siphonophorae
482	MP_E438	Amphipholis torelli
6	MP_E438	Spongillida
8946	MP_E438	Actinopteri
44	MP_E438	Eusergestes arcticus
5	MP_E438	Actinomycetaceae
23693	MP_E438	Euphausia pacifica
4	MP_E438	Candidatus Pseudothioglobus__f
373	MP_E438	Petrasma pervernicosa
10348	MP_E438	Chordata
2429	MP_E438	Megaptera novaeangliae
77	MP_E438	Tellinidae
2	MP_E438	Candidatus Pseudothioglobus__f__o
61	MP_E438	Ophiopholis sp_ EAC01
205	MP_E438	Gallus
17726	MP_E442	Eukaryota
34	MP_E442	Ulmaridae
1085	MP_E442	Unknown
245	MP_E442	Picozoa
18488	MP_E442	Candidatus Karelsulcia__f
796	MP_E442	Poecilosclerida
398	MP_E442	Lineidae
11	MP_E442	Echinoidea
6	MP_E442	Dendroceratida
99	MP_E442	Axinellida
6	MP_E442	Holothuroidea
90	MP_E442	Thysanoessa
14	MP_E442	Carybdeida
8	MP_E442	Suberitida
13	MP_E442	Dictyodendrillidae
187	MP_E442	Ophiura sarsii
57	MP_E442	Flavobacteriales
765	MP_E442	Spatangoida
5	MP_E442	Spongillida
6472	MP_E442	Actinopteri
10	MP_E442	Heteronemertea
1	MP_E442	Ophiuridae
10	MP_E442	Actinomycetaceae
4426	MP_E442	Euphausia pacifica
199	MP_E442	Monostilifera
3	MP_E442	Candidatus Woesebacteria
33	MP_E442	Apodida
10415	MP_E442	Chordata
4180	MP_E442	Cephalopoda
18	MP_E442	Opiliones
36	MP_E442	Hiatella
354	MP_E442	Merluccius
26	MP_E442	Loxosomella
5	MP_E442	Rickettsiales
5	MP_E442	Actinomycetes
3	MP_E442	Myxoderma platyacanthum
1262	MP_E442	Onykia
63	MP_E442	Cancellothyrididae
108	MP_E442	Decapoda
46440	MP_E446_1B_PCR1	Eukaryota
1030	MP_E446_1B_PCR1	Unknown
2653	MP_E446_1B_PCR1	Picozoa
1174	MP_E446_1B_PCR1	Candidatus Karelsulcia__f
4631	MP_E446_1B_PCR1	Poecilosclerida
1612	MP_E446_1B_PCR1	Echinoidea
261	MP_E446_1B_PCR1	Dendroceratida
249	MP_E446_1B_PCR1	Clathrinida
936	MP_E446_1B_PCR1	Axinellida
29	MP_E446_1B_PCR1	candidate division WOR_3
10	MP_E446_1B_PCR1	Adapedonta
182	MP_E446_1B_PCR1	Pseudocalanus elongatus
2810	MP_E446_1B_PCR1	Acartia longiremis
105	MP_E446_1B_PCR1	Balanomorpha
2	MP_E446_1B_PCR1	Carybdeida
30	MP_E446_1B_PCR1	Amphimedon compressa
114	MP_E446_1B_PCR1	Rhynchozoon sp_ MHD_2004
19195	MP_E446_1B_PCR1	Perciformes
164	MP_E446_1B_PCR1	Cupuladriidae
53	MP_E446_1B_PCR1	Demospongiae
9	MP_E446_1B_PCR1	Ophiopholis mirabilis
19	MP_E446_1B_PCR1	Tethyidae
23	MP_E446_1B_PCR1	Callyspongia
613	MP_E446_1B_PCR1	Forcipulatida
4	MP_E446_1B_PCR1	Flavobacteriales
53	MP_E446_1B_PCR1	Stichopodidae
227	MP_E446_1B_PCR1	Strongylocentrotus
254	MP_E446_1B_PCR1	Spatangoida
417	MP_E446_1B_PCR1	Aphragmophora
5	MP_E446_1B_PCR1	Siphonophorae
10	MP_E446_1B_PCR1	Spongillida
23645	MP_E446_1B_PCR1	Actinopteri
56	MP_E446_1B_PCR1	Heteronemertea
2	MP_E446_1B_PCR1	Propionibacteriaceae
2920	MP_E446_1B_PCR1	Saccoglossus
16	MP_E446_1B_PCR1	Anthozoa
191	MP_E446_1B_PCR1	Monostilifera
1	MP_E446_1B_PCR1	Candidatus Woesebacteria
5	MP_E446_1B_PCR1	Candidatus Pseudothioglobus__f
2567	MP_E446_1B_PCR1	Chordata
85	MP_E446_1B_PCR1	Centropagidae
17	MP_E446_1B_PCR1	Celleporina souleae
1945	MP_E446_1B_PCR1	Megaptera novaeangliae
9	MP_E446_1B_PCR1	Lineus flavescens
7	MP_E446_1B_PCR1	Amphipoda
9	MP_E446_1B_PCR1	Pinnixa
36	MP_E446_1B_PCR1	Oweniidae
195	MP_E446_1B_PCR1	Margarites
54	MP_E446_1B_PCR1	Phocoena phocoena
231	MP_E446_1B_PCR1	Flustridae
4	MP_E446_1B_PCR1	Calanoida
16	MP_E446_1B_PCR1	Oerstedia sp_ SJ 64
7	MP_E446_1B_PCR1	Corticium
41	MP_E446_1B_PCR1	Cellariidae
1758	MP_E446_1B_PCR1	Mytilus
44	MP_E446_1B_PCR1	Mytilus californianus
44	MP_E446_1B_PCR1	Cerebratulus
37	MP_E446_1B_PCR1	Crella elegans
1159	MP_E446_1B_PCR1	Magelonidae
70	MP_E446_1B_PCR1	Gymnothorax zonipectis
40	MP_E446_1B_PCR1	Candidae
62	MP_E446_1B_PCR1	Calopteryx splendens
51	MP_E446_1B_PCR1	Terebratulina unguicula
58	MP_E446_1B_PCR1	Agonopsis vulsa
45	MP_E446_1B_PCR1	Chironomidae
682	MP_E446_1B_PCR1	Ophiuroidea
3	MP_E446_1B_PCR1	Columbellidae
44	MP_E446_1B_PCR1	Sinonovacula
4	MP_E446_1B_PCR1	Haplosporidiidae
202	MP_E446_1B_PCR1	Molpadida
19	MP_E446_1B_PCR1	Macoma
706	MP_E446_1B_PCR1	Magelona
147	MP_E446_1B_PCR1	Watersiporidae
38	MP_E446_1B_PCR1	Anaspidacea
112	MP_E446_1B_PCR1	Bugulina
85588	MP_E446_2B_PCR1	Eukaryota
194	MP_E446_2B_PCR1	Homo sapiens
1397	MP_E446_2B_PCR1	Unknown
3293	MP_E446_2B_PCR1	Picozoa
1706	MP_E446_2B_PCR1	Candidatus Karelsulcia__f
5373	MP_E446_2B_PCR1	Poecilosclerida
317	MP_E446_2B_PCR1	Cheilostomatida
1818	MP_E446_2B_PCR1	Echinoidea
484	MP_E446_2B_PCR1	Dendroceratida
1300	MP_E446_2B_PCR1	Axinellida
62	MP_E446_2B_PCR1	Pseudocalanus elongatus
8829	MP_E446_2B_PCR1	Acartia longiremis
174	MP_E446_2B_PCR1	Thysanoessa
3	MP_E446_2B_PCR1	Balanomorpha
13	MP_E446_2B_PCR1	Carybdeida
81	MP_E446_2B_PCR1	Amphimedon compressa
9	MP_E446_2B_PCR1	Rhynchozoon sp_ MHD_2004
3681	MP_E446_2B_PCR1	Perciformes
266	MP_E446_2B_PCR1	Demospongiae
26	MP_E446_2B_PCR1	Callyspongia
18	MP_E446_2B_PCR1	Stichopodidae
133	MP_E446_2B_PCR1	Spatangoida
91	MP_E446_2B_PCR1	Bacillota
501	MP_E446_2B_PCR1	Aphragmophora
5	MP_E446_2B_PCR1	Siphonophorae
9895	MP_E446_2B_PCR1	Actinopteri
870	MP_E446_2B_PCR1	Saccoglossus
210	MP_E446_2B_PCR1	Euphausia pacifica
11	MP_E446_2B_PCR1	Anthozoa
30	MP_E446_2B_PCR1	Monostilifera
4	MP_E446_2B_PCR1	Candidatus Woesebacteria
90	MP_E446_2B_PCR1	Sagittidae
2070	MP_E446_2B_PCR1	Chordata
231	MP_E446_2B_PCR1	Centropagidae
107	MP_E446_2B_PCR1	Dendrochirotida
22	MP_E446_2B_PCR1	Negombata
